,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2006-06-13,379960,68531,124789,101559,6484,37243,50601,31928,21799,-56258,95075,-13358,10129,595.75,600.75,593.5,600.5,1498
2006-06-20,374060,75205,126499,104549,6967,34275,53156,28041,21232,-51294,97582,-18881,6809,585.25,586.75,583.25,584.5,662
2006-06-27,351200,81537,109652,102040,7522,31123,69349,21809,17898,-28115,94518,-38226,3911,578.0,572.5,569.0,569.0,575
2006-07-03,331145,58929,107857,102262,6796,33989,50089,24669,20481,-48928,95466,-16100,4188,601.5,605.0,600.0,602.5,769
2006-07-11,339653,60900,125781,103460,6066,42301,46054,22565,22742,-64881,97394,-3753,-177,607.0,610.0,606.0,606.0,651
2006-07-18,332154,65722,126321,102898,6620,39753,41479,20245,25835,-60599,96278,-1726,-5590,589.0,593.0,589.0,590.75,725
2006-07-25,329423,63964,118010,104989,7114,41506,49660,17455,27310,-54046,97875,-8154,-9855,585.25,590.0,584.5,584.5,756
2006-08-01,342520,66209,107956,109607,7555,43942,68352,18060,29183,-41747,102052,-24410,-11123,573.5,579.0,573.5,578.0,250
2006-08-08,340431,65980,102628,107121,6730,45943,76473,19953,30663,-36648,100391,-30530,-10710,557.5,564.0,558.0,564.0,312
2006-08-15,343399,74397,104128,105176,7722,44729,79750,18641,27946,-29731,97454,-35021,-9305,556.5,558.0,553.75,556.25,718
2006-08-22,354380,76873,112556,106608,7402,45989,80566,17226,24074,-35683,99206,-34577,-6848,549.25,550.0,547.0,548.0,1360
2006-08-29,360481,80075,115545,107615,7603,44135,81459,20260,22712,-35470,100012,-37324,-2452,537.0,540.5,536.75,537.25,2566
2006-09-05,358095,78244,112326,110486,8672,46840,82163,21426,26287,-34082,101814,-35323,-4861,541.25,549.5,538.0,538.0,452
2006-09-12,355804,81681,113784,111013,8730,47097,86619,21366,25335,-32103,102283,-39522,-3969,527.25,527.25,527.25,527.25,206
2006-09-19,360125,81313,114819,110658,8924,45358,86637,21823,22843,-33506,101734,-41279,-1020,544.25,555.0,543.5,552.5,21133
2006-09-26,366727,85589,118528,110794,8279,41982,84162,22051,22925,-32939,102515,-42180,-874,546.75,550.5,544.25,544.5,15443
2006-10-03,379185,89792,125728,111628,9285,38175,83263,25912,19220,-35936,102343,-45088,6692,542.5,545.0,540.5,545.0,29368
2006-10-10,378618,89809,153201,110998,6663,41960,66651,26232,19308,-63392,104335,-24691,6924,560.5,574.5,560.0,572.0,25659
2006-10-17,396327,86329,175419,107960,4441,48584,50053,30592,18096,-89090,103519,-1469,12496,600.5,603.25,587.5,588.25,27508
2006-10-24,384774,82134,189410,108638,2762,48479,31117,32353,18933,-107276,105876,17362,13420,623.5,625.5,614.25,617.0,16232
2006-10-31,375802,86629,188393,110458,1319,54823,27022,13417,18461,-101764,109139,27801,-5044,630.25,641.0,630.0,639.0,6353
2006-11-07,385229,78274,197944,113212,1249,62503,25009,15389,18984,-119670,111963,37494,-3595,654.75,657.75,645.5,649.5,779
2006-11-14,394104,85404,204253,112492,1183,68233,27162,19038,20116,-118849,111309,41071,-1078,656.0,655.0,645.0,645.0,30446
2006-11-21,393988,88038,199701,113372,1161,65650,28518,20276,21513,-111663,112211,37132,-1237,673.0,673.75,666.5,667.75,21301
2006-11-28,410571,81064,210677,114655,945,69156,28103,26656,19450,-129613,113710,41053,7206,686.25,689.75,681.75,688.25,23359
2006-12-05,418234,84078,216299,114902,855,63020,27884,29056,15805,-132221,114047,35136,13251,664.25,665.5,655.25,657.5,28933
2006-12-12,425133,71069,212029,116262,1018,69259,26622,30677,18406,-140960,115244,42637,12271,663.0,670.0,661.25,667.25,31137
2006-12-19,423743,79847,219805,116714,943,63966,26926,32656,15388,-139958,115771,37040,17268,653.5,654.25,647.0,647.25,9349
2006-12-26,397897,69585,211004,115870,1197,63792,22662,28181,14569,-141419,114673,41130,13612,671.5,675.75,663.0,663.0,5513
2007-01-03,398484,54882,217669,118474,943,71411,24476,35359,11012,-162787,117531,46935,24347,669.25,682.5,668.25,680.75,3387
2007-01-09,391999,54202,210631,119202,1154,70947,24718,33683,13776,-156429,118048,46229,19907,653.5,663.0,650.0,663.0,846
2007-01-16,416414,55773,222855,119777,1148,77788,26621,37040,15474,-167082,118629,51167,21566,708.5,721.0,705.5,716.0,53747
2007-01-23,430593,50550,236463,124162,723,93149,28073,36024,13132,-185913,123439,65076,22892,727.25,727.5,716.5,717.5,40223
2007-01-30,441976,51723,243800,124055,3,93811,24148,34681,12303,-192077,124052,69663,22378,721.0,722.0,706.5,710.0,34622
2007-02-06,461503,52301,261104,127835,3,102454,21765,41286,14285,-208803,127832,80689,27001,738.75,746.75,737.0,739.0,49853
2007-02-13,475776,54576,258924,128344,253,102856,22931,43372,20133,-204348,128091,79925,23239,755.0,755.75,743.25,744.25,39359
